window,bars,wf_auc,n_kept,kept_families
lb6m_off0m,4344,0.497,48,"cdl,mom,ms,ses,smc,sr,trend,ts,vlt,vol"
lb6m_off6m,4416,0.5791,53,"cdl,mom,ms,ses,smc,sr,trend,ts,vlt,vol"
lb6m_off12m,4344,0.5521,60,"cdl,mom,ms,ses,smc,sr,trend,ts,vlt,vol"
lb12m_off0m,8760,0.5692,66,"cdl,mom,ms,ses,smc,sr,trend,ts,vlt,vol"
lb12m_off6m,8760,0.5431,73,"cdl,mom,ms,ses,smc,sr,trend,ts,vlt,vol"
lb12m_off12m,8760,0.5206,61,"cdl,mom,ms,ses,smc,sr,trend,ts,vlt,vol"
lb24m_off0m,17520,0.5437,80,"cdl,mom,ms,ses,smc,sr,trend,ts,vlt,vol"
